desired_id,client_id,skill,title
68,254,"['Algorithms and Data Structures', 'Artificial Neural Networks', 'Machine Learning', 'Machine Learning', 'Natural Language Processing (NLP)']",Project254
69,694,"['Business Intelligence', 'Computer Vision', 'Flask', 'Natural Language Processing (NLP)', 'Power BI', 'PyTorch', 'Tensorflow']",Project694
70,96,"['Algorithms and Data Structures', 'Artificial Neural Networks', 'Data Analysis', 'Git', 'Natural Language Processing (NLP)']",Project96
71,551,"['Artificial Neural Networks', 'GitHub', 'PyTorch']",Project551
72,828,"['Artificial Intelligence', 'Natural Language Processing (NLP)']",Project828
73,149,"['Business Analysis', 'Computer Vision', 'Flask', 'Matplotlib']",Project149
74,660,"['Flask', 'Power BI', 'Tensorflow']",Project660
75,652,"['Business Analysis', 'Flask', 'Keras', 'Machine Learning', 'Natural Language Processing (NLP)']",Project652
76,767,"['Computer Vision', 'Data Cleansing', 'Data Cleansing', 'Reinforcement Learning']",Project767
77,178,"['Artificial Neural Networks', 'PyTorch', 'Reinforcement Learning', 'Scikit-Learn']",Project178
78,773,"['Computer Vision', 'Natural Language Processing (NLP)', 'Python']",Project773
79,553,['Business Intelligence'],Project553
80,446,"['Artificial Intelligence', 'Keras', 'Machine Learning', 'Natural Language Processing (NLP)', 'Scipy', 'Scipy']",Project446
81,638,"['Keras', 'Python', 'Scipy']",Project638
82,903,"['Data Cleansing', 'Scipy']",Project903
83,837,"['Business Intelligence', 'Business Intelligence Engineering', 'Scipy']",Project837
84,438,"['Artificial Neural Networks', 'GitHub']",Project438
85,550,"['Artificial Neural Networks', 'Business Analysis', 'Keras']",Project550
86,327,"['Artificial Neural Networks', 'Computer Vision', 'PyTorch', 'Scikit-Learn']",Project327
87,354,"['Business Analysis', 'Data Analysis']",Project354
88,790,"['Artificial Intelligence', 'Artificial Neural Networks', 'Artificial Neural Networks', 'Data Cleansing', 'Data Warehousing', 'Natural Language Processing (NLP)', 'Scikit-Learn']",Project790
89,406,"['Business Intelligence Engineering', 'Matplotlib']",Project406
90,562,"['Algorithms and Data Structures', 'Business Intelligence', 'Keras', 'Keras']",Project562
91,962,"['Algorithms and Data Structures', 'Artificial Neural Networks']",Project962
92,291,"['Artificial Neural Networks', 'Business Analysis', 'Natural Language Processing (NLP)', 'Natural Language Processing (NLP)', 'PyTorch', 'Scikit-Learn']",Project291
93,44,"['Deep Learning', 'Flask', 'Git', 'PyTorch']",Project44
94,820,"['Deep Learning', 'Scipy']",Project820
95,271,"['Algorithms and Data Structures', 'Algorithms and Data Structures', 'PyTorch', 'Scipy']",Project271
96,320,"['Artificial Intelligence', 'Deep Learning', 'Flask', 'Python', 'Scipy']",Project320
97,897,"['Business Analysis', 'Computer Vision', 'Git', 'Git', 'Keras']",Project897
98,444,"['Algorithms and Data Structures', 'Algorithms and Data Structures', 'Computer Vision', 'Matplotlib', 'Python']",Project444
99,448,"['Git', 'GitHub', 'Natural Language Processing (NLP)', 'PyTorch', 'Scikit-Learn']",Project448
100,19,"['Flask', 'Matplotlib']",Project19
101,686,"['GitHub', 'Machine Learning', 'Reinforcement Learning']",Project686
102,178,"['Git', 'Python', 'Scikit-Learn']",Project178
103,888,"['Artificial Neural Networks', 'Business Intelligence Engineering', 'Data Analysis', 'Machine Learning']",Project888
104,700,"['Business Intelligence', 'Machine Learning', 'Python', 'PyTorch', 'Tensorflow']",Project700
105,342,"['Matplotlib', 'Power BI']",Project342
106,309,"['Algorithms and Data Structures', 'Artificial Neural Networks', 'Business Intelligence', 'Computer Vision', 'GitHub', 'Keras', 'Machine Learning', 'Natural Language Processing (NLP)']",Project309
107,529,"['Git', 'Scipy']",Project529
108,708,"['Business Intelligence', 'Keras', 'Reinforcement Learning']",Project708
109,538,"['Business Intelligence', 'Business Intelligence Engineering', 'Data Analysis', 'Git']",Project538
110,609,"['Flask', 'GitHub', 'Keras', 'Scipy', 'Tensorflow']",Project609
111,148,"['Business Intelligence', 'Data Analysis', 'Deep Learning', 'Keras', 'Scikit-Learn']",Project148
112,483,['PyTorch'],Project483
113,857,"['Deep Learning', 'GitHub']",Project857
114,556,"['GitHub', 'Python']",Project556
115,652,"['Algorithms and Data Structures', 'Business Analysis', 'Business Analysis', 'Data Warehousing', 'Matplotlib']",Project652
116,692,['Reinforcement Learning'],Project692
117,298,"['Business Intelligence Engineering', 'Flask', 'Git', 'Tensorflow']",Project298
118,64,"['Artificial Intelligence', 'Computer Vision', 'GitHub']",Project64
119,8,['Matplotlib'],Project8
120,675,['Scipy'],Project675
121,708,"['Computer Vision', 'Data Cleansing', 'GitHub', 'GitHub']",Project708
122,537,"['Data Warehousing', 'Data Warehousing', 'Flask', 'Keras', 'Machine Learning', 'PyTorch', 'Reinforcement Learning']",Project537
123,482,"['Business Intelligence', 'Natural Language Processing (NLP)', 'Reinforcement Learning', 'Scipy']",Project482
124,474,['Natural Language Processing (NLP)'],Project474
125,972,"['Flask', 'Python', 'Tensorflow']",Project972
126,717,"['Data Warehousing', 'Flask', 'Flask']",Project717
127,707,['Algorithms and Data Structures'],Project707
128,386,"['Data Warehousing', 'Keras']",Project386
129,131,"['Natural Language Processing (NLP)', 'Natural Language Processing (NLP)', 'Tensorflow', 'Tensorflow']",Project131
130,802,"['Artificial Neural Networks', 'Data Cleansing', 'Scikit-Learn']",Project802
131,77,"['Business Analysis', 'Data Warehousing', 'GitHub', 'Reinforcement Learning']",Project77
132,551,"['Git', 'Git', 'Machine Learning', 'Power BI']",Project551
133,562,"['Algorithms and Data Structures', 'GitHub']",Project562
134,191,"['Business Intelligence Engineering', 'Data Analysis']",Project191
135,816,"['GitHub', 'Python']",Project816
136,798,"['Business Intelligence', 'Flask', 'Natural Language Processing (NLP)', 'Reinforcement Learning']",Project798
137,865,"['Artificial Neural Networks', 'Computer Vision']",Project865
138,48,"['Keras', 'Machine Learning', 'Reinforcement Learning']",Project48
139,409,"['Business Intelligence', 'Git', 'Power BI', 'Python', 'Scipy']",Project409
140,798,"['Business Intelligence', 'Computer Vision', 'Deep Learning', 'Natural Language Processing (NLP)', 'Python', 'Scipy', 'Tensorflow']",Project798
141,560,"['Data Analysis', 'Matplotlib']",Project560
142,223,"['Flask', 'PyTorch', 'Scikit-Learn', 'Tensorflow']",Project223
143,836,['Matplotlib'],Project836
144,154,"['Algorithms and Data Structures', 'Computer Vision', 'Natural Language Processing (NLP)']",Project154
145,523,"['Business Analysis', 'Git']",Project523
146,449,"['Business Analysis', 'Business Intelligence Engineering']",Project449
147,356,"['Business Analysis', 'Data Warehousing', 'Git', 'Reinforcement Learning']",Project356
149,235,"['Flask', 'Git', 'PyTorch', 'Reinforcement Learning']",Project235
150,733,"['Artificial Neural Networks', 'Natural Language Processing (NLP)', 'Scipy']",Project733
151,265,"['Algorithms and Data Structures', 'Business Intelligence Engineering', 'Data Analysis']",Project265
152,97,['Natural Language Processing (NLP)'],Project97
153,120,"['Artificial Intelligence', 'Data Warehousing', 'Flask', 'PyTorch', 'Scikit-Learn']",Project120
154,139,"['Machine Learning', 'Power BI', 'Scikit-Learn']",Project139
155,839,"['Algorithms and Data Structures', 'Python']",Project839
156,139,"['Data Cleansing', 'Flask', 'Natural Language Processing (NLP)']",Project139
157,145,"['Business Analysis', 'Computer Vision', 'Git', 'Reinforcement Learning', 'Reinforcement Learning', 'Scikit-Learn']",Project145
158,92,['Artificial Neural Networks'],Project92
159,278,"['Data Warehousing', 'Tensorflow']",Project278
160,972,"['Computer Vision', 'Flask', 'Machine Learning', 'Reinforcement Learning', 'Scikit-Learn']",Project972
161,337,"['Computer Vision', 'Scikit-Learn']",Project337
162,33,"['Algorithms and Data Structures', 'Business Analysis', 'Power BI']",Project33
163,254,"['Artificial Intelligence', 'Business Analysis', 'Data Cleansing', 'Data Warehousing', 'Git', 'Matplotlib', 'Reinforcement Learning']",Project254
164,501,"['Algorithms and Data Structures', 'Business Analysis', 'Business Intelligence', 'Data Analysis', 'Data Warehousing', 'Matplotlib', 'Scipy']",Project501
165,82,['Scikit-Learn'],Project82
166,881,"['Business Intelligence Engineering', 'Natural Language Processing (NLP)']",Project881
167,1000,"['Data Warehousing', 'Machine Learning', 'Natural Language Processing (NLP)', 'Reinforcement Learning', 'Tensorflow']",Project1000
168,613,"['Algorithms and Data Structures', 'Business Intelligence Engineering', 'Git']",Project613
169,449,"['Business Intelligence Engineering', 'Deep Learning', 'Keras']",Project449
170,360,"['Artificial Neural Networks', 'Business Intelligence', 'Flask']",Project360
171,902,"['Computer Vision', 'Data Analysis']",Project902
172,490,"['Algorithms and Data Structures', 'Business Analysis', 'Computer Vision']",Project490
173,173,['Business Intelligence'],Project173
174,505,"['Machine Learning', 'Power BI', 'Power BI', 'PyTorch']",Project505
175,986,['Power BI'],Project986
176,110,['Flask'],Project110
177,67,['Business Intelligence Engineering'],Project67
178,682,"['Artificial Intelligence', 'Computer Vision', 'GitHub', 'Keras', 'Matplotlib']",Project682
179,245,"['Computer Vision', 'Data Analysis', 'Git']",Project245
180,661,"['Data Analysis', 'Data Analysis', 'Flask', 'GitHub', 'Power BI']",Project661
181,19,"['Business Analysis', 'Deep Learning']",Project19
182,356,"['Artificial Intelligence', 'Flask', 'Keras', 'Matplotlib', 'Power BI', 'Scipy']",Project356
183,337,"['Artificial Neural Networks', 'Git']",Project337
184,566,"['Business Analysis', 'Business Intelligence Engineering', 'Computer Vision', 'PyTorch', 'Scipy']",Project566
185,386,"['Data Cleansing', 'GitHub', 'Reinforcement Learning', 'Scipy']",Project386
186,491,"['Business Intelligence', 'Git', 'Git', 'PyTorch']",Project491
187,513,"['Artificial Neural Networks', 'Business Intelligence Engineering', 'Flask', 'Power BI', 'Reinforcement Learning']",Project513
188,278,"['Business Intelligence Engineering', 'Data Warehousing', 'Git', 'Machine Learning', 'Tensorflow']",Project278
189,633,"['Artificial Neural Networks', 'Deep Learning', 'Keras', 'Machine Learning', 'Matplotlib', 'Python']",Project633
190,786,"['Business Intelligence Engineering', 'Flask']",Project786
191,652,"['Computer Vision', 'Matplotlib', 'Reinforcement Learning', 'Scipy']",Project652
192,197,"['Business Intelligence', 'Business Intelligence Engineering', 'Deep Learning', 'Scipy']",Project197
193,148,"['Computer Vision', 'Data Cleansing', 'Deep Learning', 'Tensorflow']",Project148
194,63,"['Artificial Neural Networks', 'Business Intelligence Engineering', 'Natural Language Processing (NLP)', 'Natural Language Processing (NLP)', 'PyTorch', 'Scipy']",Project63
195,147,"['Computer Vision', 'Data Warehousing', 'Tensorflow']",Project147
196,610,"['Algorithms and Data Structures', 'Business Intelligence Engineering', 'Scikit-Learn', 'Tensorflow']",Project610
198,456,"['Business Intelligence', 'Business Intelligence Engineering', 'Python', 'Reinforcement Learning']",Project456
199,470,"['Data Analysis', 'Data Cleansing', 'Matplotlib']",Project470
200,270,"['Algorithms and Data Structures', 'Artificial Intelligence', 'Machine Learning', 'Natural Language Processing (NLP)', 'PyTorch']",Project270
201,811,"['Deep Learning', 'Python']",Project811
202,94,['Computer Vision'],Project94
203,91,"['Business Intelligence Engineering', 'Data Warehousing']",Project91
204,755,"['Artificial Intelligence', 'Data Warehousing', 'Git', 'Python', 'Scipy']",Project755
205,315,"['GitHub', 'Keras', 'Machine Learning', 'Matplotlib', 'Natural Language Processing (NLP)', 'Natural Language Processing (NLP)']",Project315
206,22,['Business Intelligence Engineering'],Project22
207,491,"['Algorithms and Data Structures', 'Artificial Neural Networks', 'Flask']",Project491
208,490,"['Business Intelligence Engineering', 'Scipy']",Project490
209,208,['Algorithms and Data Structures'],Project208
210,96,"['Business Intelligence', 'Data Analysis']",Project96
211,734,"['Business Analysis', 'Deep Learning', 'Python', 'Reinforcement Learning']",Project734
213,712,['Deep Learning'],Project712
214,796,"['Artificial Neural Networks', 'Business Analysis', 'Git']",Project796
215,338,"['Artificial Neural Networks', 'Natural Language Processing (NLP)', 'Power BI', 'Python']",Project338
216,141,"['Algorithms and Data Structures', 'Data Analysis', 'Data Analysis', 'Scikit-Learn']",Project141
217,718,"['Business Analysis', 'Data Warehousing', 'Machine Learning']",Project718
218,525,"['Flask', 'PyTorch']",Project525
219,458,"['Data Warehousing', 'Natural Language Processing (NLP)', 'Power BI']",Project458
221,416,"['Artificial Neural Networks', 'Git', 'Matplotlib', 'PyTorch']",Project416
222,836,"['Data Analysis', 'Git', 'Natural Language Processing (NLP)', 'PyTorch', 'Scipy']",Project836
223,553,"['Flask', 'Natural Language Processing (NLP)', 'Tensorflow']",Project553
224,473,"['Computer Vision', 'Data Analysis', 'Deep Learning']",Project473
225,668,"['Business Intelligence Engineering', 'Data Analysis', 'Deep Learning', 'Matplotlib', 'Reinforcement Learning']",Project668
226,135,"['Data Cleansing', 'Data Warehousing', 'Scikit-Learn']",Project135
227,483,"['Business Intelligence', 'Flask', 'PyTorch']",Project483
228,97,"['Computer Vision', 'Matplotlib', 'Scikit-Learn']",Project97
229,417,"['Data Cleansing', 'Matplotlib', 'Scikit-Learn']",Project417
230,767,"['Business Analysis', 'Business Intelligence']",Project767
231,794,"['Deep Learning', 'PyTorch']",Project794
232,1,"['Computer Vision', 'Machine Learning']",Project1
233,157,"['Git', 'Scikit-Learn']",Project157
234,695,"['Business Intelligence', 'Data Analysis', 'Keras', 'Matplotlib', 'Matplotlib']",Project695
235,113,"['Computer Vision', 'Git']",Project113
236,15,"['GitHub', 'Keras', 'Machine Learning']",Project15
237,998,"['Flask', 'Scipy', 'Tensorflow']",Project998
238,951,"['Algorithms and Data Structures', 'Artificial Neural Networks', 'Data Analysis']",Project951
239,147,"['Artificial Intelligence', 'Artificial Neural Networks', 'Deep Learning', 'Python']",Project147
240,716,"['Data Cleansing', 'Keras']",Project716
241,389,"['Natural Language Processing (NLP)', 'Power BI', 'Tensorflow']",Project389
242,738,"['Algorithms and Data Structures', 'Machine Learning', 'PyTorch', 'Scikit-Learn']",Project738
243,965,"['Business Analysis', 'Business Intelligence', 'Natural Language Processing (NLP)', 'Natural Language Processing (NLP)', 'Scipy']",Project965
244,15,"['Artificial Neural Networks', 'Business Intelligence', 'Data Analysis', 'Machine Learning']",Project15
245,473,"['Artificial Intelligence', 'Data Cleansing', 'Git']",Project473
246,698,"['Data Analysis', 'Keras', 'Scikit-Learn']",Project698
247,182,"['Business Analysis', 'Data Warehousing', 'Keras', 'Scipy']",Project182
248,282,"['Computer Vision', 'Matplotlib', 'Scikit-Learn']",Project282
249,33,"['Artificial Neural Networks', 'Reinforcement Learning']",Project33
250,242,"['Business Intelligence Engineering', 'Data Analysis', 'PyTorch', 'Reinforcement Learning']",Project242
251,446,['Flask'],Project446
252,397,"['Data Cleansing', 'Power BI']",Project397
253,1,"['Business Analysis', 'Python']",Project1
254,800,"['Computer Vision', 'Data Analysis', 'Power BI', 'Python']",Project800
255,256,"['Artificial Intelligence', 'Artificial Neural Networks', 'Artificial Neural Networks', 'Python']",Project256
256,265,"['Data Warehousing', 'Git', 'Scipy', 'Tensorflow']",Project265
257,245,"['Algorithms and Data Structures', 'Artificial Neural Networks', 'Business Intelligence Engineering', 'Flask']",Project245
258,993,"['Business Intelligence Engineering', 'Data Cleansing']",Project993
259,667,"['Flask', 'GitHub', 'Keras', 'Reinforcement Learning', 'Reinforcement Learning', 'Scikit-Learn', 'Tensorflow']",Project667
260,544,"['Flask', 'Scipy']",Project544
261,505,"['Artificial Intelligence', 'Data Analysis', 'Power BI', 'Scikit-Learn']",Project505
262,710,"['Deep Learning', 'Git']",Project710
263,301,"['Business Intelligence Engineering', 'Business Intelligence Engineering', 'Flask', 'Git', 'Power BI', 'Scipy', 'Tensorflow']",Project301
264,962,"['Artificial Intelligence', 'Business Analysis', 'Deep Learning', 'Flask', 'Tensorflow']",Project962
265,993,"['Artificial Intelligence', 'Keras', 'Keras']",Project993
266,787,"['Flask', 'Python']",Project787
267,667,"['Flask', 'Git', 'Power BI', 'Python']",Project667
268,770,"['Artificial Intelligence', 'Data Warehousing', 'Git', 'Machine Learning']",Project770
269,732,"['Data Cleansing', 'Flask', 'Scipy', 'Scipy']",Project732
270,557,"['Deep Learning', 'GitHub', 'Machine Learning', 'Natural Language Processing (NLP)', 'PyTorch', 'Reinforcement Learning']",Project557
271,94,"['Artificial Intelligence', 'Computer Vision', 'Computer Vision', 'GitHub']",Project94
272,80,"['Computer Vision', 'Data Cleansing', 'Deep Learning', 'Git']",Project80
273,1000,"['Business Analysis', 'Data Cleansing', 'Reinforcement Learning', 'Scipy', 'Scipy']",Project1000
274,643,"['Keras', 'Scikit-Learn']",Project643
275,857,"['Matplotlib', 'Matplotlib']",Project857
276,775,"['Data Cleansing', 'Deep Learning']",Project775
277,755,"['Business Intelligence Engineering', 'Data Cleansing', 'Tensorflow']",Project755
278,652,"['Algorithms and Data Structures', 'Artificial Neural Networks', 'Power BI', 'Scipy']",Project652
279,790,"['Data Warehousing', 'Reinforcement Learning']",Project790
280,1000,"['Business Intelligence', 'Computer Vision', 'Deep Learning', 'Flask', 'Python']",Project1000
281,853,"['Data Analysis', 'PyTorch']",Project853
282,232,"['Business Intelligence Engineering', 'Data Warehousing', 'Natural Language Processing (NLP)']",Project232
283,865,"['Artificial Intelligence', 'Flask', 'Keras', 'Machine Learning']",Project865
284,984,"['Reinforcement Learning', 'Tensorflow']",Project984
285,448,"['Data Warehousing', 'Git', 'GitHub', 'Python', 'PyTorch']",Project448
286,129,"['Business Intelligence Engineering', 'Computer Vision', 'Git', 'Git']",Project129
287,433,"['Artificial Intelligence', 'Git', 'Matplotlib', 'Scikit-Learn']",Project433
288,230,"['Business Analysis', 'Data Analysis', 'GitHub']",Project230
289,562,"['Business Intelligence', 'Computer Vision', 'GitHub', 'Scipy']",Project562
290,755,"['Artificial Intelligence', 'Artificial Neural Networks', 'GitHub']",Project755
291,815,"['Python', 'Tensorflow']",Project815
292,836,"['Data Cleansing', 'Tensorflow']",Project836
293,32,"['Business Analysis', 'Business Intelligence Engineering', 'Data Analysis', 'Deep Learning', 'Power BI']",Project32
294,450,"['Business Intelligence Engineering', 'Matplotlib', 'Scikit-Learn']",Project450
295,864,"['Artificial Neural Networks', 'Data Analysis', 'Keras', 'Machine Learning', 'Natural Language Processing (NLP)', 'Power BI', 'Power BI']",Project864
296,424,['Natural Language Processing (NLP)'],Project424
297,149,"['Computer Vision', 'Git', 'Machine Learning']",Project149
298,523,['Data Cleansing'],Project523
299,413,['Scikit-Learn'],Project413
300,881,['Data Analysis'],Project881
301,904,"['Azure', 'Data Engineering', 'Data Warehousing', 'Git', 'WebScrape']",Project904
302,56,"['ETL', 'Hadoop', 'SQL']",Project56
303,844,"['Apache Beam', 'Apache Kafka', 'Apache NiFi', 'Apache Pulsar', 'Apache Storm']",Project844
304,453,"['Azure Databricks', 'Azure Modern Data', 'Database Administration', 'Troubleshooting']",Project453
305,30,"['Amazon Firehose', 'Apache Kafka', 'Apache Mesos', 'Apache Storm', 'Azure Modern Data', 'Scala', 'SQL']",Project30
306,266,"['Database Administration', 'SQLite', 'T-SQL']",Project266
307,934,"['Amazon Firehose', 'Apache Kafka', 'ETL']",Project934
308,950,"['Amazon Firehose', 'Apache Flume', 'Azure Cloud SQL', 'SQL']",Project950
309,274,['Amazon Redshift'],Project274
310,340,"['Apache Pulsar', 'Azure Databricks', 'HDFS', 'Spark']",Project340
311,43,"['Apache', 'Apache Kafka', 'Data Engineering', 'Git', 'Redux']",Project43
312,414,"['Apache Storm', 'Hadoop', 'HBase']",Project414
313,976,"['Apache Storm', 'Data Engineering', 'Redux', 'Spark']",Project976
314,303,"['Data Warehousing', 'SQL']",Project303
315,352,"['Apache Mesos', 'Azure Cloud SQL']",Project352
316,495,['Kafka'],Project495
317,944,"['Amazon Firehose', 'Apache Storm', 'Data Warehousing', 'WebScrape']",Project944
318,522,"['HBase', 'Oracle', 'Scala']",Project522
319,918,"['Amazon Kinesis', 'Apache Beam', 'Apache Spark', 'Azure', 'Azure Data Lake', 'Redis', 'WebScrape']",Project918
320,575,"['Apache NiFi', 'Azure']",Project575
321,202,"['Data Engineer', 'Excel', 'WebScrape']",Project202
322,826,"['Amazon Firehose', 'Amazon Redshift', 'Azure Cloud SQL', 'ETL', 'Kafka', 'T-SQL', 'WebScrape']",Project826
323,957,"['Apache NiFi', 'ETL', 'GitHub', 'HDFS']",Project957
324,52,"['Amazon Firehose', 'Apache Pulsar', 'Troubleshooting']",Project52
325,414,"['Apache Spark', 'Data Engineer', 'Hadoop', 'Oracle Database Administration']",Project414
326,838,"['Azure Cloud SQL', 'Java', 'Kafka']",Project838
327,723,['MySQL'],Project723
328,789,"['Amazon Firehose', 'Apache Flume', 'ETL', 'Kafka', 'Kafka', 'Spark']",Project789
329,539,['Apache Mesos'],Project539
330,606,"['Apache Pulsar', 'Database Administration']",Project606
331,11,"['Azure', 'Go', 'Kafka', 'MySQL', 'Scala']",Project11
332,575,"['Apache Solr', 'Apache Spark', 'Azure Data Factory']",Project575
334,211,"['Apache Mesos', 'Azure Databricks', 'Data Engineering', 'MySQL', 'Redis']",Project211
335,745,['Kafka'],Project745
336,85,"['Apache Flume', 'Excel', 'T-SQL']",Project85
337,403,"['Apache', 'GitHub', 'HDFS', 'Python', 'SQL']",Project403
338,495,"['Apache Mesos', 'Apache Solr', 'Azure Data Lake', 'GitHub', 'HBase']",Project495
339,908,"['Apache NiFi', 'Apache Storm', 'Redis']",Project908
340,504,"['Amazon Kinesis', 'Azure Cosmos DB', 'Data Engineering', 'Hadoop']",Project504
341,142,"['Data Warehousing', 'Spark', 'T-SQL']",Project142
342,241,"['Data Engineering', 'Git', 'Redis', 'SQLite']",Project241
343,945,"['Apache Flume', 'Database Administration', 'Database Administration', 'Excel', 'Troubleshooting']",Project945
344,374,"['Apache Kafka', 'Apache Mesos', 'Apache NiFi', 'Azure Modern Data', 'Spark']",Project374
345,69,"['Amazon Redshift', 'Apache Kafka', 'Cloud', 'Excel', 'GitHub']",Project69
346,757,"['Apache Kafka', 'Redux']",Project757
347,887,"['Amazon Kinesis', 'Apache Mesos', 'Apache Storm', 'Azure Databricks', 'Java', 'SQLite']",Project887
348,202,"['Apache Beam', 'Azure Data Factory', 'Spark']",Project202
349,658,"['Cloud', 'Spark', 'SQL', 'Troubleshooting']",Project658
350,863,"['Apache Flume', 'ETL', 'Kafka', 'Scala', 'Spark']",Project863
351,705,"['Apache NiFi', 'Cloud', 'ETL']",Project705
352,826,"['Apache NiFi', 'Azure Cosmos DB', 'Azure Data Lake', 'Hadoop', 'HDFS']",Project826
353,498,"['Excel', 'Redis', 'SQL', 'WebScrape']",Project498
354,697,"['Apache Storm', 'Azure Data Lake', 'Redux']",Project697
